Season,Rank,Player,Age,Weight,Height,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating,Nationality,Position
2022/2023,16,Hector Bellerin,27,74,178,141,0,0,0,0,0,80,1,0,6.71,Spain,Defender
2022/2023,17,Sergi Roberto,30,68,178,1309,4,1,3,0,0.8,92.8,0.3,0,6.65,Spain,Midfielder
2022/2023,18,"Eric Garcia
",21,76,182,1414,1,0,3,0,0.3,91,1,0,6.62,Spain,Defender
2022/2023,19,Ansu Fati,19,66,178,1382,7,3,3,0,1.7,84.8,0.2,0,6.55,Spain,Forward
2022/2023,20,Marcos Alonso,31,84,188,1163,1,0,3,0,0.3,90.9,1.1,0,6.53,Spain,Defender
2022/2023,21,Ferran Torres,22,77,184,1385,4,2,5,1,1.2,81.2,0.3,1,6.48,Spain,Forward
2022/2023,22,Franck Kessie,25,74,183,980,1,1,4,0,0.5,86.8,0.3,0,6.3,Ivory Coast,Midfielder
2022/2023,23,Aleix Garrido,18,0,166,6,0,0,0,0,0,100,0,0,6.24,Spain,Midfielder
2022/2023,24,Pablo Torre,19,63,173,138,0,0,0,0,0.1,85.2,0.1,0,6.22,Spain,Midfielder
2022/2023,25,Pierre-Emerick Aubameyang,33,80,187,8,0,0,0,0,1,100,0,0,6.21,Gabon,Forward
2022/2023,26,Lamine Yamal,15,0,180,7,0,0,0,0,1,100,0,0,6.14,Spain,Forward
2022/2023,27,Inaki Pena,23,78,184,72,0,0,0,0,0,90.9,0,0,6.05,Spain,Goalkeeper
2022/2023,28,Angel Alarcon,18,0,0,23,0,0,0,0,0.3,71.4,0,0,6.03,Spain,Midfielder
2022/2023,30,Chadi Riad,19,0,186,1,0,0,0,0,0,100,0,0,6,Spain,Midfielder
